;c;s;cr
0;1;2;1
1;2;2;1
2;2;2;1
3;1;1;2
4;2;1;2
5;2;2;2
6;2;1;1
7;2;1;2
8;1;1;1
9;2;1;2
10;2;2;1
11;2;2;2
12;1;1;1
13;2;1;1
14;2;1;2
15;2;1;2
16;1;1;1
17;1;2;1
18;2;2;2
19;1;2;2
20;2;2;2
21;2;2;1
22;2;2;1
23;1;1;2
24;2;1;2
25;1;1;2
26;1;2;1
27;1;1;2
28;1;1;2
29;2;2;2
30;1;1;1
31;2;1;2
32;1;1;1
33;1;2;1
34;1;1;2
35;2;2;2
36;2;1;2
37;1;1;2
38;2;2;1
39;1;2;2
40;2;1;1
41;2;1;1
42;2;2;2
43;1;2;1
44;1;1;1
45;1;2;1
46;1;2;2
47;2;2;2
48;1;1;1
49;1;2;2
50;2;2;2
51;2;2;1
52;1;1;1
53;1;2;1
54;1;1;2
55;2;2;2
56;1;1;1
57;2;2;1
58;1;2;1
59;2;2;2
60;2;2;2
61;2;1;2
62;2;1;2
63;1;2;2
64;2;1;1
65;1;2;1
66;1;2;1
67;2;2;1
68;1;2;1
69;1;2;2
70;2;2;1
71;1;1;2
72;1;1;1
73;2;1;2
74;1;2;1
75;2;1;1
76;2;2;2
77;2;2;1
78;1;1;2
79;1;2;2
80;1;2;1
81;2;2;2
82;2;1;2
83;1;2;1
84;1;2;2
85;1;1;1
86;2;2;2
87;1;1;2
88;2;1;1
89;2;2;2
90;1;1;2
91;2;2;1
92;1;2;2
93;1;1;1
94;2;2;2
95;2;2;1
96;2;2;1
97;2;1;2
98;2;1;1
99;2;1;2
100;2;1;2
101;2;2;2
102;1;1;1
103;1;2;2
104;2;1;1
105;1;1;1
106;1;1;2
107;2;1;2
108;2;2;2
109;2;1;1
110;1;1;1
111;1;1;1
112;1;1;1
113;2;1;2
114;2;2;2
115;2;1;1
116;2;1;1
117;2;1;2
118;2;2;1
119;1;2;1
120;2;2;2
121;1;2;2
122;1;2;2
123;1;2;2
124;2;2;2
125;2;1;1
126;2;2;2
127;1;2;1
128;2;1;1
129;1;1;1
130;1;2;2
131;1;2;2
132;1;1;2
133;2;1;2
134;1;2;2
135;1;2;2
136;1;1;2
137;2;2;1
138;2;1;2
139;1;1;1
140;1;2;1
141;2;1;2
142;2;1;2
143;1;1;2
144;1;1;2
145;1;1;2
146;1;1;2
147;2;2;2
148;1;2;2
149;1;1;2
150;2;1;2
151;2;1;2
152;2;1;1
153;1;1;1
154;2;2;1
155;2;1;2
156;2;1;1
157;2;2;1
158;2;1;1
159;1;1;2
160;2;2;2
161;1;2;1
162;2;2;2
163;2;1;2
164;2;1;2
165;2;2;2
166;1;1;1
167;1;2;1
168;1;1;2
169;2;2;1
170;1;2;1
171;1;1;1
172;2;2;2
173;1;1;1
174;1;2;1
175;1;2;1
176;1;2;2
177;1;2;2
178;2;2;1
179;2;1;2
180;1;1;2
181;2;1;2
182;1;1;2
183;1;2;1
184;2;1;2
185;1;2;1
186;1;1;1
187;1;2;1
188;2;2;1
189;2;1;2
190;2;1;2
191;2;1;2
192;1;1;1
193;2;1;1
194;1;1;1
195;1;2;1
196;2;1;2
197;2;1;1
198;1;1;2
199;2;1;2
200;2;2;1
201;1;2;2
202;1;1;1
203;1;1;1
204;1;2;1
205;1;1;2
206;2;1;1
207;2;1;1
208;1;2;2
209;1;1;2
210;1;1;2
211;2;1;1
212;1;1;1
213;1;2;1
214;2;2;2
215;2;2;1
216;1;1;2
217;1;2;2
218;2;2;1
219;1;1;1
220;1;1;1
221;1;2;1
222;2;2;1
223;2;2;1
224;2;1;1
225;2;2;1
226;2;1;1
227;2;2;2
228;1;1;1
229;2;2;2
230;1;2;2
231;1;2;1
232;1;1;2
233;1;2;2
234;2;1;2
235;2;1;1
236;2;2;2
237;2;2;2
238;2;1;1
239;2;2;1
240;2;1;2
241;2;1;1
242;1;2;1
243;2;2;1
244;2;1;2
245;1;1;2
246;2;1;1
247;2;2;1
248;2;2;2
249;2;2;2
250;1;1;1
251;2;2;2
252;2;2;2
253;1;2;1
254;2;1;1
255;2;1;2
256;1;2;1
257;2;2;1
258;1;2;2
259;2;1;2
260;1;2;2
261;1;1;2
262;1;2;2
263;2;1;1
264;2;1;2
265;1;1;1
266;2;2;1
267;2;1;1
268;2;1;1
269;1;2;1
270;1;2;1
271;2;2;2
272;1;2;1
273;2;2;2
274;1;2;1
275;2;2;1
276;2;1;1
277;2;1;2
278;1;2;2
279;2;1;2
280;1;1;2
281;1;1;1
282;2;2;1
283;1;2;1
284;2;1;2
285;2;1;2
286;2;1;2
287;2;1;1
288;1;1;2
289;1;1;1
290;1;1;1
291;1;1;1
292;2;2;1
293;1;2;2
294;2;1;1
295;2;1;2
296;1;1;1
297;2;1;1
298;1;2;1
299;2;1;2
300;1;2;2
301;2;2;2
302;1;1;2
303;1;2;2
304;2;1;1
305;1;2;2
306;1;2;2
307;1;1;2
308;2;1;2
309;1;2;1
310;2;2;2
311;1;2;1
312;1;1;1
313;1;2;2
314;2;2;1
315;2;2;1
316;1;1;1
317;1;1;1
318;2;1;1
319;1;1;2
320;1;2;2
321;2;2;2
322;1;1;2
323;2;2;2
324;2;2;2
325;1;2;1
326;1;2;1
327;1;2;2
328;2;2;2
329;2;1;1
330;2;2;1
331;1;1;1
332;1;1;1
333;2;2;1
334;2;1;2
335;1;1;2
336;2;2;1
337;2;1;1
338;1;1;2
339;2;1;1
340;2;2;1
341;1;2;2
342;1;2;2
343;2;2;2
344;2;1;2
345;2;1;1
346;2;2;2
347;1;1;2
348;1;1;1
349;2;1;1
350;2;1;2
351;1;1;1
352;1;1;1
353;2;1;1
354;1;2;2
355;2;1;2
356;2;1;1
357;2;2;2
358;2;1;1
359;2;2;2
360;1;1;1
361;1;2;2
362;2;2;1
363;2;1;2
364;2;1;1
365;2;2;2
366;2;1;1
367;2;2;1
368;2;2;2
369;1;1;1
370;2;1;2
371;2;2;1
372;2;1;2
373;1;1;2
374;2;1;2
375;2;2;1
376;2;2;2
377;1;1;1
378;1;1;1
379;2;1;2
380;2;1;1
381;1;1;2
382;1;1;1
383;2;1;2
384;1;2;2
385;1;1;1
386;2;2;2
387;1;1;1
388;1;2;1
389;2;1;1
390;1;2;1
391;2;2;2
392;1;1;1
393;2;2;2
394;1;2;2
395;1;1;2
396;1;2;1
397;1;2;2
398;1;1;1
399;2;2;1
400;1;1;1
401;2;2;2
402;2;1;1
403;1;2;1
404;1;1;1
405;1;1;1
406;1;1;2
407;1;2;1
408;2;1;2
409;1;2;1
410;1;2;1
411;2;1;2
412;1;1;1
413;1;1;2
414;1;2;1
415;2;1;2
416;2;1;1
417;2;1;1
418;1;2;2
419;2;1;1
420;1;1;1
421;1;2;1
422;2;2;2
423;2;1;2
424;1;2;2
425;2;1;1
426;1;2;2
427;1;2;1
428;2;2;1
429;2;1;1
430;2;1;2
431;1;1;1
432;2;2;1
433;1;1;1
434;2;2;1
435;1;1;1
436;1;1;2
437;2;1;1
438;2;2;2
439;2;1;1
440;1;1;1
441;1;2;2
442;2;2;1
443;2;2;1
444;2;1;1
445;2;2;2
446;1;1;2
447;2;1;2
448;2;1;2
449;2;2;2
450;2;1;2
451;2;1;2
452;2;2;2
453;1;2;1
454;2;2;1
455;1;1;2
456;2;2;1
457;2;2;2
458;2;2;1
459;1;2;1
460;1;1;1
461;2;1;2
462;2;1;2
463;2;1;2
464;1;1;2
465;1;2;1
466;2;2;1
467;1;2;1
468;2;2;2
469;1;2;1
470;1;1;2
471;1;2;1
472;2;1;1
473;2;2;1
474;2;1;2
475;2;2;2
476;2;2;1
477;1;2;2
478;1;1;1
479;2;2;1
480;2;2;1
481;2;1;1
482;2;2;1
483;1;2;1
484;1;2;2
485;1;2;1
486;1;2;1
487;1;1;1
488;1;1;2
489;1;2;1
490;1;1;2
491;2;1;1
492;1;2;2
493;2;2;1
494;2;1;1
495;1;2;2
496;1;2;1
497;2;2;2
498;1;2;2
499;2;2;2
500;2;2;2
501;1;2;1
502;2;1;2
503;1;1;1
504;2;2;1
505;2;1;1
506;1;1;1
507;2;2;1
508;2;1;1
509;1;1;2
510;2;2;2
511;1;1;2
512;1;2;2
513;2;2;2
514;2;2;1
515;1;2;1
516;1;1;2
517;1;1;1
518;2;2;1
519;1;2;1
520;2;2;2
521;2;1;1
522;2;1;1
523;1;1;1
524;2;2;2
525;1;1;2
526;2;1;1
527;1;2;2
528;2;1;2
529;2;1;2
530;2;2;1
531;1;1;2
532;2;1;2
533;2;1;2
534;2;2;1
535;2;2;2
536;1;2;1
537;2;2;2
538;2;1;1
539;1;2;2
540;2;2;1
541;1;1;1
542;2;2;1
543;2;2;2
544;1;2;2
545;1;1;2
546;2;1;2
547;1;1;2
548;1;1;1
549;2;2;2
550;1;2;2
551;2;1;1
552;1;2;1
553;2;2;1
554;1;1;1
555;1;2;2
556;1;2;1
557;1;2;2
558;2;2;1
559;1;2;2
560;2;2;2
561;1;1;2
562;1;1;1
563;1;1;1
564;2;2;2
565;1;2;2
566;1;2;2
567;2;1;1
568;1;2;1
569;1;2;2
570;2;1;1
571;2;2;2
572;2;1;1
573;1;2;1
574;2;2;2
575;1;1;1
576;1;2;2
577;2;2;2
578;1;2;1
579;2;1;2
580;2;2;2
581;1;2;2
582;1;2;1
583;1;2;2
584;2;2;1
585;2;2;2
586;1;1;2
587;1;1;2
588;1;2;1
589;2;1;2
590;1;2;1
591;2;1;2
592;1;1;2
593;2;2;2
594;2;2;1
595;2;2;2
596;2;1;2
597;1;2;1
598;2;1;1
599;1;1;2
600;2;1;2
601;2;2;2
602;2;2;1
603;2;2;1
604;1;2;2
605;1;2;2
606;1;1;2
607;1;2;2
608;2;2;2
609;2;1;2
610;1;1;2
611;1;1;2
612;1;1;1
613;1;2;2
614;2;1;1
615;2;1;1
616;1;2;1
617;2;2;2
618;1;2;2
619;1;1;1
620;2;2;1
621;2;1;1
622;1;1;1
623;1;2;1
624;2;2;1
625;1;1;2
626;1;2;1
627;1;2;2
628;2;1;1
629;1;1;1
630;1;2;2
631;1;1;2
632;1;2;1
633;1;2;1
634;2;1;1
635;2;1;2
636;2;2;1
637;1;2;2
638;2;1;2
639;1;1;2
640;2;1;1
641;1;1;2
642;1;2;1
643;2;1;1
644;2;1;2
645;2;2;1
646;2;1;1
647;1;1;2
648;2;1;1
649;2;2;1
650;2;2;2
651;2;1;2
652;1;1;1
653;1;1;2
654;1;2;1
655;2;2;2
656;1;2;2
657;2;2;2
658;1;2;1
659;2;1;2
660;2;1;2
661;2;2;2
662;1;2;2
663;1;2;2
664;1;1;1
665;2;1;1
666;1;1;2
667;1;1;1
668;2;1;2
669;2;1;2
670;2;2;2
671;2;2;1
672;2;1;2
673;2;2;2
674;1;2;1
675;2;2;2
676;2;1;1
677;1;2;2
678;1;2;2
679;2;2;1
680;1;1;1
681;1;1;1
682;1;1;1
683;2;1;2
684;1;1;2
685;1;1;1
686;1;2;2
687;2;2;1
688;2;2;1
689;2;2;2
690;2;2;2
691;1;1;2
692;1;1;2
693;1;1;1
694;2;2;2
695;1;1;2
696;2;1;1
697;2;1;1
698;2;1;2
699;2;2;2
700;1;1;1
701;1;2;1
702;1;1;2
703;2;1;1
704;1;1;1
705;1;2;2
706;2;2;2
707;2;2;2
708;2;2;2
709;1;2;2
710;2;1;1
711;2;2;1
712;2;1;1
713;2;2;2
714;1;1;1
715;1;2;2
716;1;2;2
717;2;2;2
718;2;2;2
719;1;2;2
720;2;2;2
721;2;2;2
722;1;1;2
723;1;1;1
724;2;2;2
725;1;1;1
726;1;1;2
727;1;2;2
